"session","created","modified","ended","expired","sex","degree","school","familiarity","importance","courses","objectives","knowledge","knowledge2","experience","experience2","image_selection1","image_selection2","image_selection3"
"","2021-09-03 05:23:51","","","","","","","","","","","","","","","","",""
"","2021-09-03 05:25:47","","","","","","","","","","","","","","","","",""
"","2021-09-03 05:26:47","","","","","","","","","","","","","","","","",""
"","2021-09-03 05:27:34","2021-09-03 05:28:36","","","","","","","","","","","","","","","",""
"","2021-09-03 05:31:47","","","","","","","","","","","","","","","","",""
"","2021-09-03 05:34:43","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:24:17","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:50:30","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:50:48","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:53:23","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:55:12","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:55:42","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:58:23","","","","","","","","","","","","","","","","",""
"","2021-09-03 08:59:45","","","","","","","","","","","","","","","","",""
"","2021-09-03 09:00:10","","","","","","","","","","","","","","","","",""
"horribleRedWolfXXXNVMNMA2nVYd3wLqTH9qXcRRMq9aSFUZzcZqkgEn9JoZtBQ","2021-09-03 09:07:44","","","","","","","","","","","","","","","","",""
"YenmIGNdv9x0TibVZN4VBrPYFMRBqhMTkay05UZkuxrtWCF3BrZWZwL6DjkwlIhG","2021-09-03 09:11:53","2021-09-03 09:35:24","2021-09-03 09:35:24","","1","2","1","81","93","6","1, 2, 3, 4, 5, 6, 7, 8","1, 2, 3, 4, 5, 6, 7, 8, 9","1, 2, 3, 4, 5, 6, 7","5","1, 2, 3, 4, 5, 6","1","1","3"
"","2021-09-03 09:19:49","","","","","","","","","","","","","","","","",""
"","2021-09-03 10:29:45","","","","","","","","","","","","","","","","",""
